brand,mileage_band,age_band,price
jaguar,150k+,11-15,4534.0
jaguar,150k+,16-20,5100.0
jaguar,150k+,21-40,4675.0
jaguar,150k+,40+,30886.0
jeep,0-50k,0-5,31112.0
jeep,0-50k,6-10,19871.0
jeep,0-50k,11-15,14008.0
jeep,0-50k,16-20,6360.0
jeep,0-50k,21-40,9040.0
jeep,0-50k,40+,16803.0
jeep,50k-100k,0-5,27010.0
jeep,50k-100k,6-10,15938.0
jeep,50k-100k,11-15,9247.0
jeep,50k-100k,16-20,6258.0
jeep,50k-100k,21-40,10533.0
jeep,50k-100k,40+,12483.0
jeep,100k-150k,0-5,21945.0
jeep,100k-150k,6-10,15638.0
jeep,100k-150k,11-15,9866.0
jeep,100k-150k,16-20,4176.0
jeep,100k-150k,21-40,6964.0
jeep,100k-150k,40+,7070.0
jeep,150k+,0-5,21639.0
jeep,150k+,6-10,10761.0
jeep,150k+,11-15,5883.0
jeep,150k+,16-20,4583.0
jeep,150k+,21-40,4589.0
jeep,150k+,40+,5894.0
kia,0-50k,0-5,14460.0
kia,0-50k,6-10,5763.0
kia,0-50k,11-15,2124.0
kia,0-50k,16-20,3110.0
kia,0-50k,21-40,700.0
kia,0-50k,40+,
kia,50k-100k,0-5,12720.0
kia,50k-100k,6-10,5776.0
kia,50k-100k,11-15,2547.0
kia,50k-100k,16-20,1087.0
kia,50k-100k,21-40,925.0
kia,50k-100k,40+,
kia,100k-150k,0-5,12582.0
kia,100k-150k,6-10,6225.0
kia,100k-150k,11-15,2481.0
kia,100k-150k,16-20,667.0
kia,100k-150k,21-40,525.0
kia,100k-150k,40+,250.0
kia,150k+,0-5,11118.0
kia,150k+,6-10,4947.0
kia,150k+,11-15,2279.0
kia,150k+,16-20,712.0
kia,150k+,21-40,780.0
kia,150k+,40+,
lada,0-50k,0-5,7297.0
lada,0-50k,6-10,4694.0
lada,0-50k,11-15,1667.0
lada,0-50k,16-20,1150.0
lada,0-50k,21-40,3708.0
lada,0-50k,40+,2800.0
lada,50k-100k,0-5,4245.0
lada,50k-100k,6-10,3051.0
lada,50k-100k,11-15,1871.0
lada,50k-100k,16-20,2866.0
lada,50k-100k,21-40,1810.0
lada,50k-100k,40+,3720.0
lada,100k-150k,0-5,
lada,100k-150k,6-10,2408.0
lada,100k-150k,11-15,2114.0
